gen,best_F,mean_F,best_SSIM,best_PSNR,best_MSE
0,0.2794006901516728,0.4386187041845071,0.7205993098483272,19.159508809673035,0.03216272600714146
1,0.2794006901516728,0.3729389534706463,0.7205993098483272,19.159508809673035,0.03216272600714146
2,0.2794006901516728,0.3510711069525354,0.7205993098483272,19.159508809673035,0.03216272600714146
3,0.2794006901516728,0.3571188359645627,0.7205993098483272,19.159508809673035,0.03216272600714146
4,0.2794006901516728,0.3346426248688431,0.7205993098483272,19.159508809673035,0.03216272600714146
5,0.2709310450214375,0.3283969587764843,0.7290689549785625,19.00090598533152,0.031669361529939655
6,0.2649519794959617,0.32705502638210243,0.7350480205040383,18.661317517664155,0.030011029390913567
7,0.2574214763879208,0.3157125131976557,0.7425785236120792,19.14647667372744,0.03006419303689404
8,0.2574214763879208,0.3211780784355174,0.7425785236120792,19.14647667372744,0.03006419303689404
9,0.25326491721447986,0.31357086663299755,0.7467350827855201,19.399090243909175,0.02735286184807516
10,0.2532648835511585,0.30802301344793126,0.7467351164488415,19.399166446220512,0.027352841495915648
11,0.2532648835511585,0.30933718698586476,0.7467351164488415,19.399166446220512,0.027352841495915648
12,0.2532648835511585,0.30465413670241726,0.7467351164488415,19.399166446220512,0.027352841495915648
13,0.2500271082938901,0.28481886154523534,0.7499728917061099,19.843384923792645,0.02916985450979436
14,0.2500271082938901,0.28023169600564735,0.7499728917061099,19.843384923792645,0.02916985450979436
15,0.2500271082938901,0.2748504481379763,0.7499728917061099,19.843384923792645,0.02916985450979436
16,0.2500271082938901,0.28263333636430027,0.7499728917061099,19.843384923792645,0.02916985450979436
17,0.24584435179694641,0.2688159317825759,0.7541556482030536,19.599737490775297,0.027445308611231685
18,0.24580886267890145,0.26329682633165774,0.7541911373210985,19.598816976175023,0.027451268859986222
19,0.24580886267890145,0.26800938826453563,0.7541911373210985,19.598816976175023,0.027451268859986222
20,0.24580886267890145,0.26873345651011243,0.7541911373210985,19.598816976175023,0.027451268859986222
21,0.24534812068198442,0.26823697644228,0.7546518793180156,19.59991568824658,0.026789365590850454
22,0.24534812068198442,0.26603719953378435,0.7546518793180156,19.59991568824658,0.026789365590850454
23,0.24534812068198442,0.2723722691750997,0.7546518793180156,19.59991568824658,0.026789365590850454
24,0.24534812068198442,0.26344869841425744,0.7546518793180156,19.59991568824658,0.026789365590850454
25,0.24418566255911045,0.2665814780642031,0.7558143374408895,19.674525069276925,0.027224678371819015
26,0.24418566255911045,0.26041380957386123,0.7558143374408895,19.674525069276925,0.027224678371819015
27,0.24418566255911045,0.286232607912562,0.7558143374408895,19.674525069276925,0.027224678371819015
28,0.24418566255911045,0.29387203132710543,0.7558143374408895,19.674525069276925,0.027224678371819015
29,0.24418566255911045,0.29592657258799776,0.7558143374408895,19.674525069276925,0.027224678371819015
30,0.24398753625899228,0.2836805465339832,0.7560124637410077,19.658067333888503,0.027091243758624355
31,0.24385295849457234,0.29060001957181203,0.7561470415054277,19.658609594854184,0.02709429261302333
32,0.24385295849457234,0.2959759633459463,0.7561470415054277,19.658609594854184,0.02709429261302333
33,0.24385295849457234,0.28436172845425445,0.7561470415054277,19.658609594854184,0.02709429261302333
34,0.24385295849457234,0.2948041405324949,0.7561470415054277,19.658609594854184,0.02709429261302333
35,0.24299763879956016,0.29709835707512966,0.7570023612004398,19.622281192840656,0.027245359529958803
36,0.24299763879956016,0.284233066797677,0.7570023612004398,19.622281192840656,0.027245359529958803
37,0.24299763879956016,0.29313886491879837,0.7570023612004398,19.622281192840656,0.027245359529958803
38,0.24299763879956016,0.28076142445728236,0.7570023612004398,19.622281192840656,0.027245359529958803
39,0.24299763879956016,0.3086156355998981,0.7570023612004398,19.622281192840656,0.027245359529958803
40,0.24299763879956016,0.27258136025632185,0.7570023612004398,19.622281192840656,0.027245359529958803
41,0.242997632562037,0.27670348233594233,0.757002367437963,19.6222812365814,0.02724535946849767
42,0.24052821869992536,0.26121600101519815,0.7594717813000746,19.71688634839106,0.0262694291687884
43,0.24052821869992536,0.27175170439369345,0.7594717813000746,19.71688634839106,0.0262694291687884
44,0.24052821869992536,0.27584339920702206,0.7594717813000746,19.71688634839106,0.0262694291687884
45,0.24052821869992536,0.2886986765289407,0.7594717813000746,19.71688634839106,0.0262694291687884
46,0.24052821869992536,0.2775945997393681,0.7594717813000746,19.71688634839106,0.0262694291687884
47,0.24052821869992536,0.29392402540536366,0.7594717813000746,19.71688634839106,0.0262694291687884
48,0.2405097212864472,0.28579018731285105,0.7594902787135528,19.729883754293628,0.026258975316167037
49,0.2405097212864472,0.2862107386941242,0.7594902787135528,19.729883754293628,0.026258975316167037
50,0.2405097212864472,0.28779632104581976,0.7594902787135528,19.729883754293628,0.026258975316167037
51,0.2398801604312697,0.2752302429253747,0.7601198395687303,19.791427653380303,0.02634030853458303
52,0.2398801604312697,0.3069786743817942,0.7601198395687303,19.791427653380303,0.02634030853458303
53,0.2398801604312697,0.27932500773758645,0.7601198395687303,19.791427653380303,0.02634030853458303
54,0.2392198007075227,0.29596317456818394,0.7607801992924773,19.79325820097039,0.026441044457328106
55,0.2392198007075227,0.29019568070447105,0.7607801992924773,19.79325820097039,0.026441044457328106
56,0.2392198007075227,0.2925355696611963,0.7607801992924773,19.79325820097039,0.026441044457328106
57,0.2392198007075227,0.2903343490217659,0.7607801992924773,19.79325820097039,0.026441044457328106
58,0.2392198007075227,0.2915033116037446,0.7607801992924773,19.79325820097039,0.026441044457328106
59,0.2392198007075227,0.28279096441767027,0.7607801992924773,19.79325820097039,0.026441044457328106
